detailedForecast,dewpoint,endTime,icon,isDaytime,name,number,probabilityOfPrecipitation,relativeHumidity,shortForecast,startTime,temperature,temperatureTrend,temperatureUnit,windDirection,windSpeed,forecast_retrieved_at,forecast_time,ingestion_date
,"{""value"":""15"",""unitCode"":""wmoUnit:degC""}",2025-07-09T09:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,30?size=small",true,,1,"{""value"":""29"",""unitCode"":""wmoUnit:percent""}","{""value"":""93"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T08:00:00-07:00,61,,F,S,9 mph,2025-07-09T15:05:48.358Z,2025-07-09T15:00:00.000Z,2025-07-09
,"{""value"":""15"",""unitCode"":""wmoUnit:degC""}",2025-07-09T10:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,20?size=small",true,,2,"{""value"":""24"",""unitCode"":""wmoUnit:percent""}","{""value"":""94"",""unitCode"":""wmoUnit:percent""}",Slight Chance Light Rain,2025-07-09T09:00:00-07:00,61,,F,S,10 mph,2025-07-09T15:05:48.358Z,2025-07-09T16:00:00.000Z,2025-07-09
,"{""value"":""15"",""unitCode"":""wmoUnit:degC""}",2025-07-09T11:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,20?size=small",true,,3,"{""value"":""23"",""unitCode"":""wmoUnit:percent""}","{""value"":""93"",""unitCode"":""wmoUnit:percent""}",Slight Chance Light Rain,2025-07-09T10:00:00-07:00,61,,F,S,10 mph,2025-07-09T15:05:48.358Z,2025-07-09T17:00:00.000Z,2025-07-09
,"{""value"":""15"",""unitCode"":""wmoUnit:degC""}",2025-07-09T12:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,30?size=small",true,,4,"{""value"":""29"",""unitCode"":""wmoUnit:percent""}","{""value"":""94"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T11:00:00-07:00,61,,F,S,12 mph,2025-07-09T15:05:48.358Z,2025-07-09T18:00:00.000Z,2025-07-09
,"{""value"":""15.555555555555555"",""unitCode"":""wmoUnit:degC""}",2025-07-09T13:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,40?size=small",true,,5,"{""value"":""36"",""unitCode"":""wmoUnit:percent""}","{""value"":""91"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T12:00:00-07:00,63,,F,SSW,12 mph,2025-07-09T15:05:48.358Z,2025-07-09T19:00:00.000Z,2025-07-09
,"{""value"":""16.666666666666668"",""unitCode"":""wmoUnit:degC""}",2025-07-09T14:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,30?size=small",true,,6,"{""value"":""34"",""unitCode"":""wmoUnit:percent""}","{""value"":""90"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T13:00:00-07:00,65,,F,SSW,12 mph,2025-07-09T15:05:48.358Z,2025-07-09T20:00:00.000Z,2025-07-09
,"{""value"":""16.666666666666668"",""unitCode"":""wmoUnit:degC""}",2025-07-09T15:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,40?size=small",true,,7,"{""value"":""40"",""unitCode"":""wmoUnit:percent""}","{""value"":""88"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T14:00:00-07:00,66,,F,SSW,12 mph,2025-07-09T15:05:48.358Z,2025-07-09T21:00:00.000Z,2025-07-09
,"{""value"":""16.666666666666668"",""unitCode"":""wmoUnit:degC""}",2025-07-09T16:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,40?size=small",true,,8,"{""value"":""37"",""unitCode"":""wmoUnit:percent""}","{""value"":""84"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T15:00:00-07:00,67,,F,SSW,10 mph,2025-07-09T15:05:48.358Z,2025-07-09T22:00:00.000Z,2025-07-09
,"{""value"":""16.666666666666668"",""unitCode"":""wmoUnit:degC""}",2025-07-09T17:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,40?size=small",true,,9,"{""value"":""39"",""unitCode"":""wmoUnit:percent""}","{""value"":""81"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T16:00:00-07:00,68,,F,SSW,10 mph,2025-07-09T15:05:48.358Z,2025-07-09T23:00:00.000Z,2025-07-09
,"{""value"":""16.11111111111111"",""unitCode"":""wmoUnit:degC""}",2025-07-09T18:00:00-07:00,"https://api.weather.gov/icons/land/day/rain,30?size=small",true,,10,"{""value"":""27"",""unitCode"":""wmoUnit:percent""}","{""value"":""82"",""unitCode"":""wmoUnit:percent""}",Chance Light Rain,2025-07-09T17:00:00-07:00,67,,F,SW,10 mph,2025-07-09T15:05:48.358Z,2025-07-10T00:00:00.000Z,2025-07-09
