forecast_time,temperature,condition,windSpeed,forecast_retrieved_at,processed_at,ingestion_date
2025-06-09T09:00:00Z,64,Clear,3 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-10T04:00:00Z,71,Mostly Clear,7 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-09T23:00:00Z,79,Sunny,7 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-09T03:00:00Z,77,Clear,7 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-09T02:00:00Z,79,Mostly Clear,7 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-09T12:00:00Z,61,Clear,3 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-10T00:00:00Z,79,Sunny,8 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-08T23:00:00Z,81,Sunny,8 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-10T03:00:00Z,74,Mostly Clear,7 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
2025-06-09T18:00:00Z,69,Sunny,7 mph,2025-06-08T15:05:47.506Z,2025-06-08T15:06:03.04Z,2025-06-08
