forecast_time,temperature,condition,windSpeed,forecast_retrieved_at,processed_at,ingestion_date
2025-06-18T15:00:00.000Z,58,Chance Rain Showers,8 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T16:00:00.000Z,59,Chance Rain Showers,7 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T17:00:00.000Z,59,Chance Rain Showers,7 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T18:00:00.000Z,61,Chance Rain Showers,9 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T19:00:00.000Z,62,Chance Rain Showers,8 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T20:00:00.000Z,64,Chance Rain Showers,10 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T21:00:00.000Z,64,Chance Rain Showers,12 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T22:00:00.000Z,65,Slight Chance Rain Showers,10 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-18T23:00:00.000Z,66,Sunny,10 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
2025-06-19T00:00:00.000Z,65,Mostly Sunny,8 mph,2025-06-18T15:05:41.876Z,2025-06-18T15:05:54.003Z,2025-06-18
